days since 1900-1-1, spei
1901-01-16, 0.7749
1901-02-15, 0.80016
1901-03-16, -1.1282
1901-04-16, 0.53878
1901-05-16, 1.6686
1901-06-16, -0.90471
1901-07-16, -1.2764
1901-08-16, -0.088797
1901-09-16, 1.1606
1901-10-16, 0.29975
1901-11-16, -0.46171
1901-12-16, -1.4807
1902-01-16, -0.72876
1902-02-15, 0.59463
1902-03-16, 0.43864
1902-04-16, 0.54136
1902-05-16, 0.46656
1902-06-16, -1.473
1902-07-16, -0.072928
1902-08-16, 0.97883
1902-09-16, -0.82695
1902-10-16, 0.93457
1902-11-16, 0.9302
1902-12-16, -0.29302
1903-01-16, -0.087619
1903-02-15, -0.34593
1903-03-16, 0.94787
1903-04-16, 0.82282
1903-05-16, -0.23228
1903-06-16, -0.94029
1903-07-16, 0.59913
1903-08-16, -0.84489
1903-09-16, -0.25423
1903-10-16, -1.6632
1903-11-16, -0.83943
1903-12-16, -1.5445
1904-01-16, -1.087
1904-02-15, 0.6044
1904-03-16, 0.96538
1904-04-16, 0.40206
1904-05-16, -1.1299
1904-06-16, -1.2176
1904-07-16, -0.77337
1904-08-16, -0.94723
1904-09-16, 1.5325
1904-10-16, 0.68312
1904-11-16, -1.4386
1904-12-16, -0.31291
1905-01-16, -0.28432
1905-02-15, 0.85754
1905-03-16, 0.96755
1905-04-16, -0.33828
1905-05-16, 1.6387
1905-06-16, 0.23365
1905-07-16, -1.0135
1905-08-16, -0.84489
1905-09-16, -0.65168
1905-10-16, -0.95998
1905-11-16, 0.32829
1905-12-16, -0.83151
1906-01-16, -0.027742
1906-02-15, 0.17676
1906-03-16, 1.8754
1906-04-16, -0.0052454
1906-05-16, 1.5945
1906-06-16, -0.052882
1906-07-16, -1.4286
1906-08-16, 1.0206
1906-09-16, -0.83579
1906-10-16, -1.6882
1906-11-16, -0.41656
1906-12-16, 1.5867
1907-01-16, 1.3661
1907-02-15, -0.65417
1907-03-16, 1.0925
1907-04-16, -0.33828
1907-05-16, 0.01941
1907-06-16, 0.36001
1907-07-16, -0.42495
1907-08-16, 1.0102
1907-09-16, 0.18865
1907-10-16, 1.8063
1907-11-16, -1.164
1907-12-16, -0.10148
1908-01-16, 0.65067
1908-02-15, 0.75674
1908-03-16, -1.2061
1908-04-16, -0.53591
1908-05-16, 0.45543
1908-06-16, 0.47507
1908-07-16, -1.067
1908-08-16, -0.4552
1908-09-16, 1.8509
1908-10-16, -0.4747
1908-11-16, 0.11752
1908-12-16, -0.44451
1909-01-16, 1.8172
1909-02-15, 1.0995
1909-03-16, 0.97623
1909-04-16, -0.94032
1909-05-16, 0.38215
1909-06-16, 1.077
1909-07-16, 1.4332
1909-08-16, 0.87244
1909-09-16, 0.52015
1909-10-16, 0.58507
1909-11-16, 0.82296
1909-12-16, 1.7979
1910-01-16, 0.29878
1910-02-15, -1.2485
1910-03-16, 0.38341
1910-04-16, -0.99605
1910-05-16, -1.2007
1910-06-16, 0.74715
1910-07-16, 1.2315
1910-08-16, 0.97883
1910-09-16, 1.6557
1910-10-16, -0.069696
1910-11-16, -0.26409
1910-12-16, -0.93033
1911-01-16, 1.8055
1911-02-15, 0.47105
1911-03-16, 1.731
1911-04-16, 0.68063
1911-05-16, 0.40486
1911-06-16, 1.6975
1911-07-16, 1.4564
1911-08-16, 1.2897
1911-09-16, 1.3058
1911-10-16, -0.11599
1911-11-16, -1.1166
1911-12-16, -0.14881
1912-01-16, -0.9037
1912-02-15, -1.6597
1912-03-16, 1.7012
1912-04-16, 1.3232
1912-05-16, 1.1833
1912-06-16, 0.77994
1912-07-16, 1.4332
1912-08-16, 0.27656
1912-09-16, 0.023662
1912-10-16, 0.41824
1912-11-16, -0.68349
1912-12-16, -1.3872
1913-01-16, 0.089852
1913-02-15, 0.65849
1913-03-16, -0.70653
1913-04-16, -0.1654
1913-05-16, 0.59199
1913-06-16, 1.8695
1913-07-16, 1.4794
1913-08-16, 0.48996
1913-09-16, -0.82695
1913-10-16, -1.287
1913-11-16, 1.2578
1913-12-16, 0.28862
1914-01-16, 1.984
1914-02-15, 0.48528
1914-03-16, -1.0372
1914-04-16, -0.17593
1914-05-16, 0.9571
1914-06-16, 0.97063
1914-07-16, 1.5692
1914-08-16, 0.63976
1914-09-16, 0.70726
1914-10-16, 0.19312
1914-11-16, -1.3812
1914-12-16, 1.1015
1915-01-16, 0.72799
1915-02-15, 1.6016
1915-03-16, -0.86675
1915-04-16, 1.2739
1915-05-16, 1.8655
1915-06-16, -0.37181
1915-07-16, 0.91222
1915-08-16, -1.508
1915-09-16, 0.015976
1915-10-16, -1.4942
1915-11-16, -0.67984
1915-12-16, 0.4246
1916-01-16, 1.7346
1916-02-15, -0.77582
1916-03-16, -0.22393
1916-04-16, -0.90632
1916-05-16, -0.092753
1916-06-16, 0.73891
1916-07-16, 0.59913
1916-08-16, 1.4209
1916-09-16, 1.8811
1916-10-16, 2.0245
1916-11-16, -0.57846
1916-12-16, 1.4929
1917-01-16, 0.030859
1917-02-15, 0.31939
1917-03-16, -0.96605
1917-04-16, -0.21486
1917-05-16, 0.98951
1917-06-16, -2.1643
1917-07-16, -0.85057
1917-08-16, 0.33644
1917-09-16, -1.3566
1917-10-16, -1.4628
1917-11-16, -0.97651
1917-12-16, -1.6604
1918-01-16, -0.94341
1918-02-15, 1.5118
1918-03-16, 1.4916
1918-04-16, -0.92754
1918-05-16, 0.54892
1918-06-16, -1.2091
1918-07-16, 1.1549
1918-08-16, 1.1026
1918-09-16, 1.9846
1918-10-16, -0.20977
1918-11-16, 1.1512
1918-12-16, -0.24241
1919-01-16, -1.2625
1919-02-15, 0.28588
1919-03-16, 0.13786
1919-04-16, -0.80985
1919-05-16, 0.96641
1919-06-16, -1.7153
1919-07-16, -0.072928
1919-08-16, -0.84489
1919-09-16, 1.0331
1919-10-16, -0.34711
1919-11-16, -0.82064
1919-12-16, -0.15963
1920-01-16, -1.0462
1920-02-15, 0.33046
1920-03-16, 0.95007
1920-04-16, 0.1302
1920-05-16, -0.58226
1920-06-16, 0.82053
1920-07-16, -1.0777
1920-08-16, -0.35813
1920-09-16, 0.19596
1920-10-16, 0.72398
1920-11-16, -0.030021
1920-12-16, -0.22271
1921-01-16, 0.8263
1921-02-15, -0.6396
1921-03-16, -0.31613
1921-04-16, -0.40549
1921-05-16, 1.9295
1921-06-16, -0.31554
1921-07-16, -1.1095
1921-08-16, -0.84489
1921-09-16, 0.46102
1921-10-16, -0.16269
1921-11-16, -0.90759
1921-12-16, 1.59
1922-01-16, 0.76419
1922-02-15, 0.6466
1922-03-16, 0.55351
1922-04-16, -0.17945
1922-05-16, 0.11126
1922-06-16, -0.89579
1922-07-16, -0.39087
1922-08-16, -1.508
1922-09-16, -2.2592
1922-10-16, 0.34665
1922-11-16, 0.65429
1922-12-16, 1.1901
1923-01-16, -0.17065
1923-02-15, -1.0471
1923-03-16, -1.4503
1923-04-16, 1.5814
1923-05-16, -0.79822
1923-06-16, 1.3
1923-07-16, -0.072928
1923-08-16, -0.051995
1923-09-16, 0.441
1923-10-16, -0.1803
1923-11-16, -1.373
1923-12-16, -0.93033
1924-01-16, -1.3143
1924-02-15, -1.5381
1924-03-16, 0.41754
1924-04-16, -0.06551
1924-05-16, -1.5431
1924-06-16, -0.94915
1924-07-16, 0.90286
1924-08-16, -0.40675
1924-09-16, -1.9554
1924-10-16, 1.141
1924-11-16, -0.49677
1924-12-16, -0.25778
1925-01-16, -1.0802
1925-02-15, -0.53681
1925-03-16, 0.33572
1925-04-16, 0.814
1925-05-16, 1.1364
1925-06-16, -0.052883
1925-07-16, 0.1288
1925-08-16, 0.69625
1925-09-16, -0.022685
1925-10-16, 0.69682
1925-11-16, -0.41656
1925-12-16, -0.39969
1926-01-16, -0.59704
1926-02-15, 0.22039
1926-03-16, -1.1108
1926-04-16, 1.8328
1926-05-16, -1.2264
1926-06-16, -1.2091
1926-07-16, -0.77337
1926-08-16, -1.1782
1926-09-16, -0.053892
1926-10-16, -0.92857
1926-11-16, 1.7805
1926-12-16, -0.29522
1927-01-16, -0.26919
1927-02-15, 1.3288
1927-03-16, 0.033079
1927-04-16, 0.03419
1927-05-16, -1.0847
1927-06-16, 0.26092
1927-07-16, -0.77337
1927-08-16, -0.77563
1927-09-16, 0.24665
1927-10-16, 1.3442
1927-11-16, 0.38932
1927-12-16, 0.35253
1928-01-16, -1.4654
1928-02-15, -0.41159
1928-03-16, -0.11676
1928-04-16, -1.2928
1928-05-16, 0.17759
1928-06-16, -0.35306
1928-07-16, -0.42495
1928-08-16, -0.84489
1928-09-16, -2.2592
1928-10-16, -0.77817
1928-11-16, 0.79346
1928-12-16, 0.3602
1929-01-16, -0.41377
1929-02-15, -0.65417
1929-03-16, -0.19646
1929-04-16, 0.49692
1929-05-16, -1.593
1929-06-16, -0.59548
1929-07-16, -0.42495
1929-08-16, -2.3069
1929-09-16, -0.4797
1929-10-16, -1.6882
1929-11-16, -1.8557
1929-12-16, -1.6309
1930-01-16, 0.71697
1930-02-15, -0.82439
1930-03-16, 0.32842
1930-04-16, -0.76028
1930-05-16, 1.4741
1930-06-16, -0.79689
1930-07-16, -1.4286
1930-08-16, -1.508
1930-09-16, 0.74288
1930-10-16, -1.3812
1930-11-16, 0.37356
1930-12-16, -1.5945
1931-01-16, 0.47141
1931-02-15, 0.029265
1931-03-16, -1.5618
1931-04-16, -0.85156
1931-05-16, -0.61496
1931-06-16, 0.64711
1931-07-16, -2.7621
1931-08-16, -1.2946
1931-09-16, -0.82695
1931-10-16, -1.0732
1931-11-16, 1.1443
1931-12-16, 2.0119
1932-01-16, 0.18305
1932-02-15, 0.75223
1932-03-16, -1.2296
1932-04-16, -0.61072
1932-05-16, 0.00085614
1932-06-16, -1.141
1932-07-16, -0.36814
1932-08-16, -0.82189
1932-09-16, -0.10116
1932-10-16, -0.76567
1932-11-16, -1.5634
1932-12-16, -0.14234
1933-01-16, 1.406
1933-02-15, -1.2663
1933-03-16, -1.2081
1933-04-16, -0.55939
1933-05-16, 0.87171
1933-06-16, 0.50998
1933-07-16, -1.7294
1933-08-16, -1.0586
1933-09-16, 0.18865
1933-10-16, -0.28108
1933-11-16, -1.5424
1933-12-16, 0.59749
1934-01-16, -0.77352
1934-02-15, 0.047734
1934-03-16, -1.6924
1934-04-16, -2.3777
1934-05-16, -1.3222
1934-06-16, 1.727
1934-07-16, -0.77337
1934-08-16, -1.1889
1934-09-16, -1.8434
1934-10-16, 1.5357
1934-11-16, 1.4621
1934-12-16, 0.6499
1935-01-16, 0.82054
1935-02-15, -0.26946
1935-03-16, 0.70563
1935-04-16, 1.3279
1935-05-16, -0.055147
1935-06-16, -1.2176
1935-07-16, -0.2203
1935-08-16, 0.57113
1935-09-16, -1.0406
1935-10-16, 0.33109
1935-11-16, -0.11463
1935-12-16, -0.6438
1936-01-16, -1.1764
1936-02-15, 1.6828
1936-03-16, -0.53839
1936-04-16, -0.34569
1936-05-16, -1.0394
1936-06-16, -1.0893
1936-07-16, -1.6726
1936-08-16, -1.305
1936-09-16, -1.594
1936-10-16, 1.6505
1936-11-16, -1.4181
1936-12-16, 1.618
1937-01-16, 0.70836
1937-02-15, 0.9038
1937-03-16, 0.99239
1937-04-16, -0.56332
1937-05-16, -0.86358
1937-06-16, -0.93141
1937-07-16, -1.1095
1937-08-16, -1.508
1937-09-16, -1.1124
1937-10-16, -1.1172
1937-11-16, -1.1127
1937-12-16, 0.8396
1938-01-16, -0.21675
1938-02-15, 1.4978
1938-03-16, 1.8922
1938-04-16, 0.70202
1938-05-16, -0.34802
1938-06-16, 0.51867
1938-07-16, -0.42495
1938-08-16, -0.26046
1938-09-16, -0.48821
1938-10-16, -0.31703
1938-11-16, -1.0306
1938-12-16, 0.36975
1939-01-16, 0.19105
1939-02-15, -0.50121
1939-03-16, 0.33426
1939-04-16, -1.1181
1939-05-16, -0.45179
1939-06-16, -0.93141
1939-07-16, -0.70667
1939-08-16, -1.508
1939-09-16, 1.3613
1939-10-16, -0.41979
1939-11-16, -1.0113
1939-12-16, -0.88205
1940-01-16, 0.76777
1940-02-15, 0.72264
1940-03-16, -0.6303
1940-04-16, 0.46491
1940-05-16, -1.4678
1940-06-16, -1.473
1940-07-16, -1.1095
1940-08-16, -0.84489
1940-09-16, 0.25382
1940-10-16, 0.71044
1940-11-16, -0.7572
1940-12-16, 1.5682
1941-01-16, 1.1
1941-02-15, 1.3671
1941-03-16, 1.6482
1941-04-16, 1.8904
1941-05-16, -0.61496
1941-06-16, 0.47507
1941-07-16, -0.16352
1941-08-16, 0.81816
1941-09-16, 0.18132
1941-10-16, 1.2938
1941-11-16, -0.63613
1941-12-16, 1.8339
1942-01-16, -0.66974
1942-02-15, -0.99129
1942-03-16, -0.56217
1942-04-16, 1.6228
1942-05-16, -0.20036
1942-06-16, -0.38119
1942-07-16, -1.1095
1942-08-16, -0.53946
1942-09-16, -0.54804
1942-10-16, 0.2681
1942-11-16, -0.22775
1942-12-16, -0.23584
1943-01-16, 1.6812
1943-02-15, -0.20436
1943-03-16, 0.68185
1943-04-16, 0.5336
1943-05-16, -1.1943
1943-06-16, -0.090301
1943-07-16, -0.42495
1943-08-16, -0.84489
1943-09-16, -1.9648
1943-10-16, 0.083291
1943-11-16, -1.0852
1943-12-16, 1.1296
1944-01-16, -0.66137
1944-02-15, 1.2746
1944-03-16, -0.66926
1944-04-16, 0.36283
1944-05-16, -0.030195
1944-06-16, 0.84466
1944-07-16, 0.90286
1944-08-16, -2.0762
1944-09-16, -0.83579
1944-10-16, -0.96626
1944-11-16, 1.6525
1944-12-16, -0.60053
1945-01-16, -1.181
1945-02-15, 0.87133
1945-03-16, 0.74018
1945-04-16, -1.0306
1945-05-16, 0.20148
1945-06-16, 0.36894
1945-07-16, -0.72895
1945-08-16, -0.70559
1945-09-16, -1.0226
1945-10-16, 0.94275
1945-11-16, -0.24753
1945-12-16, 0.82838
1946-01-16, -1.2042
1946-02-15, -0.65417
1946-03-16, 0.46511
1946-04-16, -0.67881
1946-05-16, 0.57053
1946-06-16, -0.94029
1946-07-16, -0.14083
1946-08-16, -0.6703
1946-09-16, -1.6216
1946-10-16, 0.50781
1946-11-16, 1.8651
1946-12-16, 0.25128
1947-01-16, -1.103
1947-02-15, -1.0297
1947-03-16, -0.71775
1947-04-16, -1.252
1947-05-16, -0.4063
1947-06-16, -0.071583
1947-07-16, -1.7294
1947-08-16, -0.30936
1947-09-16, -1.3021
1947-10-16, -0.012433
1947-11-16, -0.78697
1947-12-16, -0.68716
1948-01-16, -1.7218
1948-02-15, -0.59969
1948-03-16, 0.54683
1948-04-16, 1.1521
1948-05-16, 0.47766
1948-06-16, 0.10518
1948-07-16, -0.072928
1948-08-16, -0.47934
1948-09-16, -1.393
1948-10-16, -0.52377
1948-11-16, -1.3161
1948-12-16, 0.36402
1949-01-16, -0.37658
1949-02-15, -0.18125
1949-03-16, 0.48855
1949-04-16, -1.1005
1949-05-16, 0.81312
1949-06-16, -0.28737
1949-07-16, 0.30432
1949-08-16, -0.46728
1949-09-16, -0.83579
1949-10-16, -0.62254
1949-11-16, -0.34126
1949-12-16, 0.31782
1950-01-16, 0.29726
1950-02-15, -0.25434
1950-03-16, -0.66368
1950-04-16, -0.37173
1950-05-16, 0.07471
1950-06-16, -0.071583
1950-07-16, 0.58891
1950-08-16, -0.4552
1950-09-16, 1.0683
1950-10-16, 0.76858
1950-11-16, 0.12923
1950-12-16, -0.68945
