days since 1900-1-1, spei
1921-07-16, 0.37238
1921-08-16, 0.78356
1921-09-16, -0.53094
1921-10-16, -0.53176
1921-11-16, -0.89267
1921-12-16, 0.85774
1922-01-16, 0.92697
1922-02-15, 1.0768
1922-03-16, 1.2356
1922-04-16, 0.66958
1922-05-16, 0.49479
1922-06-16, 0.19704
1922-07-16, -0.46679
1922-08-16, -0.93206
1922-09-16, -1.9929
1922-10-16, -1.2874
1922-11-16, -0.40186
1922-12-16, 0.79527
1923-01-16, 0.6305
1923-02-15, 0.010631
1923-03-16, -0.79818
1923-04-16, -0.76188
1923-05-16, -0.89198
1923-06-16, -0.095513
1923-07-16, 1.3266
1923-08-16, 0.069034
1923-09-16, 0.69631
1923-10-16, -0.01725
1923-11-16, -1.019
1923-12-16, -1.3055
1924-01-16, -1.6903
1924-02-15, -2.4469
1924-03-16, -1.5393
1924-04-16, -1.1547
1924-05-16, -0.96448
1924-06-16, -0.21092
1924-07-16, -0.75771
1924-08-16, -1.0949
1924-09-16, -1.0526
1924-10-16, 0.16043
1924-11-16, -0.59419
1924-12-16, -0.60719
1925-01-16, -0.81719
1925-02-15, -1.2854
1925-03-16, -0.77591
1925-04-16, -0.46934
1925-05-16, 0.16941
1925-06-16, 0.71121
1925-07-16, 0.95876
1925-08-16, 0.90698
1925-09-16, 0.22029
1925-10-16, 0.55238
1925-11-16, -0.080497
1925-12-16, -0.50563
1926-01-16, -0.7419
1926-02-15, -0.65143
1926-03-16, -0.95298
1926-04-16, -0.070341
1926-05-16, 0.08955
1926-06-16, -0.050177
1926-07-16, 1.0559
1926-08-16, -1.8091
1926-09-16, -1.1932
1926-10-16, -1.1916
1926-11-16, 1.1934
1926-12-16, 0.69511
1927-01-16, 0.28346
1927-02-15, 1.1276
1927-03-16, 0.47346
1927-04-16, 0.50844
1927-05-16, 0.66345
1927-06-16, -0.23825
1927-07-16, -0.55017
1927-08-16, -1.0323
1927-09-16, -0.26814
1927-10-16, 0.5495
1927-11-16, 0.65398
1927-12-16, 0.6687
1928-01-16, -0.32846
1928-02-15, -0.80467
1928-03-16, -0.84979
1928-04-16, -1.2513
1928-05-16, -0.76849
1928-06-16, -0.63997
1928-07-16, -1.0256
1928-08-16, -0.44651
1928-09-16, -1.5479
1928-10-16, -1.7184
1928-11-16, -0.55584
1928-12-16, -0.09622
1929-01-16, -0.10215
1929-02-15, -0.31535
1929-03-16, -0.59576
1929-04-16, -0.63623
1929-05-16, -0.7355
1929-06-16, -0.44154
1929-07-16, -0.50834
1929-08-16, -2.0763
1929-09-16, -1.479
1929-10-16, -2.0312
1929-11-16, -2.3589
1929-12-16, -2.1923
1930-01-16, -1.2526
1930-02-15, -1.3616
1930-03-16, -0.55494
1930-04-16, -0.19689
1930-05-16, -0.348
1930-06-16, 0.17356
1930-07-16, -0.35153
1930-08-16, -0.19136
1930-09-16, -0.92326
1930-10-16, -1.3562
1930-11-16, -0.49026
1930-12-16, -1.2086
1931-01-16, -0.75006
1931-02-15, -0.43847
1931-03-16, -1.1845
1931-04-16, -0.78288
1931-05-16, -1.2639
1931-06-16, -1.62
1931-07-16, -1.4731
1931-08-16, -1.5543
1931-09-16, -1.6241
1931-10-16, -2.261
1931-11-16, 0.01355
1931-12-16, 1.8169
1932-01-16, 1.3868
1932-02-15, 1.5075
1932-03-16, 0.79475
1932-04-16, -0.33877
1932-05-16, -0.45107
1932-06-16, -1.4369
1932-07-16, -0.89078
1932-08-16, -0.85736
1932-09-16, -0.91934
1932-10-16, -0.89636
1932-11-16, -1.5973
1932-12-16, -1.1333
1933-01-16, 0.33102
1933-02-15, -0.20817
1933-03-16, -0.34451
1933-04-16, -0.45865
1933-05-16, -1.4682
1933-06-16, -0.9176
1933-07-16, -0.30612
1933-08-16, -0.1505
1933-09-16, -0.64832
1933-10-16, -1.0078
1933-11-16, -1.3951
1933-12-16, -0.44513
1934-01-16, -0.81313
1934-02-15, -0.65334
1934-03-16, -0.95472
1934-04-16, -1.6125
1934-05-16, -1.7007
1934-06-16, -2.1162
1934-07-16, -1.637
1934-08-16, -0.57494
1934-09-16, -0.59739
1934-10-16, -0.13952
1934-11-16, 1.2704
1934-12-16, 1.3261
1935-01-16, 1.4443
1935-02-15, 0.89586
1935-03-16, 0.6728
1935-04-16, 0.75952
1935-05-16, 0.55794
1935-06-16, 0.89414
1935-07-16, 0.78572
1935-08-16, -0.43897
1935-09-16, -0.88006
1935-10-16, -0.19294
1935-11-16, -0.3406
1935-12-16, -0.80543
1936-01-16, -1.1009
1936-02-15, 0.4319
1936-03-16, 0.20458
1936-04-16, 0.27429
1936-05-16, 0.71725
1936-06-16, -1.037
1936-07-16, -1.4759
1936-08-16, -1.997
1936-09-16, -2.1865
1936-10-16, -0.24329
1936-11-16, -0.86629
1936-12-16, 0.95755
1937-01-16, 1.1428
1937-02-15, 1.1221
1937-03-16, 1.4593
1937-04-16, 0.91772
1937-05-16, 0.74945
1937-06-16, 0.31973
1937-07-16, -1.3507
1937-08-16, -1.7239
1937-09-16, -1.7868
1937-10-16, -1.8869
1937-11-16, -1.8414
1937-12-16, -0.5042
1938-01-16, -0.4106
1938-02-15, 0.87297
1938-03-16, 1.6685
1938-04-16, 1.6259
1938-05-16, 1.9605
1938-06-16, 1.7172
1938-07-16, 0.41519
1938-08-16, -0.22116
1938-09-16, -0.23004
1938-10-16, -0.66492
1938-11-16, -1.1793
1938-12-16, -0.57154
1939-01-16, -0.28951
1939-02-15, -0.47687
1939-03-16, 0.0058523
1939-04-16, -0.40459
1939-05-16, -0.6037
1939-06-16, -0.41727
1939-07-16, -1.4445
1939-08-16, -1.3741
1939-09-16, -0.23385
1939-10-16, -0.18959
1939-11-16, -0.81107
1939-12-16, -0.98726
1940-01-16, -0.47022
1940-02-15, 0.12542
1940-03-16, 0.074921
1940-04-16, 0.38839
1940-05-16, -0.10005
1940-06-16, -0.90768
1940-07-16, -0.92365
1940-08-16, -2.0467
1940-09-16, -1.162
1940-10-16, -0.069884
1940-11-16, -0.49706
1940-12-16, 1.051
1941-01-16, 1.2977
1941-02-15, 1.5965
1941-03-16, 1.9397
1941-04-16, 2.0087
1941-05-16, 2.0318
1941-06-16, 1.9002
1941-07-16, 1.549
1941-08-16, 0.029267
1941-09-16, 0.45737
1941-10-16, 0.98881
1941-11-16, 0.20107
1941-12-16, 1.5301
1942-01-16, 0.72228
1942-02-15, -0.065473
1942-03-16, -0.138
1942-04-16, -0.55215
1942-05-16, -0.31385
1942-06-16, 0.36763
1942-07-16, 1.1039
1942-08-16, -0.82364
1942-09-16, -0.97036
1942-10-16, -0.62737
1942-11-16, -0.52873
1942-12-16, -0.53577
1943-01-16, 1.0848
1943-02-15, 0.79306
1943-03-16, 0.98263
1943-04-16, 1.0955
1943-05-16, 0.11029
1943-06-16, 0.44065
1943-07-16, -0.17734
1943-08-16, -1.1426
1943-09-16, -1.3212
1943-10-16, -1.1518
1943-11-16, -1.5041
1943-12-16, -0.05983
1944-01-16, -0.23224
1944-02-15, 0.66599
1944-03-16, 0.54512
1944-04-16, 0.1426
1944-05-16, 0.51418
1944-06-16, -0.3211
1944-07-16, 0.57546
1944-08-16, -0.072979
1944-09-16, -0.42205
1944-10-16, -1.317
1944-11-16, 0.63211
1944-12-16, 0.21446
1945-01-16, -0.40649
1945-02-15, 0.35411
1945-03-16, 0.092859
1945-04-16, 0.034884
1945-05-16, 0.60556
1945-06-16, 0.29151
1945-07-16, -0.71468
1945-08-16, -0.19508
1945-09-16, -0.78182
1945-10-16, -0.25002
1945-11-16, -0.3701
1945-12-16, 0.38541
1946-01-16, -0.27109
1946-02-15, -0.77658
1946-03-16, -0.33093
1946-04-16, -0.86465
1946-05-16, -0.34245
1946-06-16, 0.051224
1946-07-16, -0.55804
1946-08-16, -0.27723
1946-09-16, -1.3791
1946-10-16, -0.61712
1946-11-16, 1.5
1946-12-16, 1.2008
1947-01-16, 0.46344
1947-02-15, -0.17232
1947-03-16, -1.3536
1947-04-16, -1.6456
1947-05-16, -1.4755
1947-06-16, -1.1931
1947-07-16, -1.5275
1947-08-16, -0.9804
1947-09-16, -1.3405
1947-10-16, -1.2314
1947-11-16, -1.1369
1947-12-16, -1.2138
1948-01-16, -1.5809
1948-02-15, -1.8563
1948-03-16, -1.073
1948-04-16, -0.45407
1948-05-16, 0.29761
1948-06-16, 0.89941
1948-07-16, 1.014
1948-08-16, 0.15492
1948-09-16, -0.75431
1948-10-16, -1.0817
1948-11-16, -1.6384
1948-12-16, -0.86756
1949-01-16, -0.72966
1949-02-15, -0.67443
1949-03-16, -0.014037
1949-04-16, -0.41979
1949-05-16, -0.127
1949-06-16, 0.093687
1949-07-16, -0.40758
1949-08-16, 0.35339
1949-09-16, -0.53875
1949-10-16, -0.80809
1949-11-16, -1.0039
1949-12-16, -0.46821
1950-01-16, -0.10619
1950-02-15, -0.13584
1950-03-16, -0.30864
1950-04-16, -0.55831
1950-05-16, -0.77886
1950-06-16, -0.74157
1950-07-16, -0.16759
1950-08-16, 0.065429
1950-09-16, 0.60746
1950-10-16, 0.91865
1950-11-16, 0.49003
1950-12-16, -0.17053
1951-01-16, -0.17314
1951-02-15, -0.68595
1951-03-16, -1.0695
1951-04-16, -0.59298
1951-05-16, -0.90517
1951-06-16, -0.42804
1951-07-16, 0.4869
1951-08-16, -0.014381
1951-09-16, 0.049094
1951-10-16, -0.35816
1951-11-16, -0.2159
1951-12-16, 0.66473
1952-01-16, 1.526
1952-02-15, 0.99428
1952-03-16, 1.3782
1952-04-16, 1.1782
1952-05-16, 0.39682
1952-06-16, 1.1877
1952-07-16, 0.14968
1952-08-16, -0.61649
1952-09-16, -0.35251
1952-10-16, -1.0783
1952-11-16, 0.26828
1952-12-16, 1.1524
1953-01-16, 0.61995
1953-02-15, -0.073334
1953-03-16, -0.85324
1953-04-16, -1.2567
1953-05-16, -1.2193
1953-06-16, -0.38772
