days since 1900-1-1, spei
1901-01-16, NA
1901-02-15, NA
1901-03-16, NA
1901-04-16, NA
1901-05-16, 0.48767
1901-06-16, 0.1915
1901-07-16, -0.48216
1901-08-16, 0.57734
1901-09-16, 0.82217
1901-10-16, 0.027393
1901-11-16, -0.25942
1901-12-16, -1.0252
1902-01-16, -1.212
1902-02-15, -0.84047
1902-03-16, -0.57356
1902-04-16, -0.30351
1902-05-16, 0.1949
1902-06-16, 0.50393
1902-07-16, 0.3377
1902-08-16, 0.30938
1902-09-16, -0.39224
1902-10-16, -0.02144
1902-11-16, 0.85719
1902-12-16, 0.34935
1903-01-16, 0.024458
1903-02-15, -0.067783
1903-03-16, 0.27478
1903-04-16, 0.1999
1903-05-16, 0.2612
1903-06-16, 0.37606
1903-07-16, 0.86336
1903-08-16, 0.25331
1903-09-16, -0.63472
1903-10-16, -1.3219
1903-11-16, -1.367
1903-12-16, -1.9161
1904-01-16, -1.9947
1904-02-15, -1.4208
1904-03-16, -0.46136
1904-04-16, -0.16809
1904-05-16, 0.17076
1904-06-16, 0.62129
1904-07-16, 0.43186
1904-08-16, -0.82858
1904-09-16, -0.61939
1904-10-16, 0.31737
1904-11-16, -0.50293
1904-12-16, -0.54401
1905-01-16, -0.56046
1905-02-15, -0.133
1905-03-16, 0.27411
1905-04-16, 0.42909
1905-05-16, 0.72852
1905-06-16, 1.0682
1905-07-16, 0.84929
1905-08-16, 0.18381
1905-09-16, 0.31829
1905-10-16, -1.1791
1905-11-16, -0.81278
1905-12-16, -1.0318
1906-01-16, -0.78995
1906-02-15, -0.4935
1906-03-16, 0.86054
1906-04-16, 0.75429
1906-05-16, 1.1421
1906-06-16, 1.4134
1906-07-16, 1.6483
1906-08-16, 0.51568
1906-09-16, 0.46792
1906-10-16, -1.3312
1906-11-16, -1.3325
1906-12-16, 0.6032
1907-01-16, 1.2175
1907-02-15, 0.81253
1907-03-16, 1.2306
1907-04-16, 1.1946
1907-05-16, 0.7476
1907-06-16, 0.16807
1907-07-16, 0.70512
1907-08-16, -0.071147
1907-09-16, 0.27581
1907-10-16, 1.3021
1907-11-16, 0.21775
1907-12-16, 0.042897
1908-01-16, 0.2845
1908-02-15, 0.6274
1908-03-16, -0.23819
1908-04-16, -0.10799
1908-05-16, -0.034955
1908-06-16, -0.28257
1908-07-16, -1.129
1908-08-16, -0.41079
1908-09-16, 0.92546
1908-10-16, 0.52839
1908-11-16, 0.19334
1908-12-16, -0.1146
