days since 1900-1-1, spei
1901-01-16, NA
1901-02-15, NA
1901-03-16, 0.23733
1901-04-16, -0.030691
1901-05-16, -0.22835
1901-06-16, 0.87465
1901-07-16, 0.55432
1901-08-16, -1.0609
1901-09-16, 0.26138
1901-10-16, 0.72619
1901-11-16, 0.024309
1901-12-16, -1.218
1902-01-16, -1.4877
1902-02-15, -0.72742
1902-03-16, 0.10503
1902-04-16, 0.58783
1902-05-16, 0.53783
1902-06-16, 0.18086
1902-07-16, -0.40361
1902-08-16, -0.37286
1902-09-16, -0.12364
1902-10-16, 0.53354
1902-11-16, 0.8178
1902-12-16, 0.39928
1903-01-16, -0.016426
1903-02-15, -0.51051
1903-03-16, 0.17768
1903-04-16, 0.5004
1903-05-16, 0.94322
1903-06-16, 0.32866
1903-07-16, -0.36445
1903-08-16, -0.5264
1903-09-16, -0.24447
1903-10-16, -1.5089
1903-11-16, -1.512
1903-12-16, -1.7627
1904-01-16, -1.7844
1904-02-15, -0.92151
1904-03-16, 0.30159
1904-04-16, 0.86606
1904-05-16, 0.66254
1904-06-16, -0.52443
1904-07-16, -1.6278
1904-08-16, -1.3691
1904-09-16, 0.52427
1904-10-16, 1.0098
1904-11-16, -0.1903
1904-12-16, -0.7775
1905-01-16, -0.98512
1905-02-15, 0.19615
1905-03-16, 0.7014
1905-04-16, 0.8626
1905-05-16, 0.94592
1905-06-16, 0.56506
1905-07-16, 1.0237
1905-08-16, -0.62414
1905-09-16, -1.1564
1905-10-16, -1.2738
1905-11-16, -0.51759
1905-12-16, -0.7898
1906-01-16, -0.52241
1906-02-15, -0.38589
1906-03-16, 1.1006
1906-04-16, 1.2871
1906-05-16, 1.7978
1906-06-16, 0.66519
1906-07-16, 0.74978
1906-08-16, -0.17589
1906-09-16, -0.69422
1906-10-16, -1.1926
1906-11-16, -1.4116
1906-12-16, 0.64452
1907-01-16, 1.5535
1907-02-15, 1.1656
1907-03-16, 0.92025
1907-04-16, 0.13658
1907-05-16, 0.73305
1907-06-16, -0.1968
1907-07-16, 0.01126
1907-08-16, 0.46981
1907-09-16, 0.30431
1907-10-16, 1.6239
1907-11-16, 0.1551
1907-12-16, -0.082148
1908-01-16, -0.15594
1908-02-15, 0.66027
1908-03-16, 0.10503
1908-04-16, -0.41248
1908-05-16, -1.1272
1908-06-16, -0.10689
1908-07-16, 0.13093
1908-08-16, -0.34233
1908-09-16, 0.93353
1908-10-16, 0.77961
1908-11-16, 0.53574
1908-12-16, -0.55023
