days since 1900-1-1, spei
1901-01-16, NA
1901-02-15, NA
1901-03-16, NA
1901-04-16, NA
1901-05-16, NA
1901-06-16, NA
1901-07-16, NA
1901-08-16, NA
1901-09-16, NA
1901-10-16, NA
1901-11-16, NA
1901-12-16, -0.034965
1902-01-16, -0.74259
1902-02-15, -0.88084
1902-03-16, -0.20577
1902-04-16, -0.16707
1902-05-16, -0.37466
1902-06-16, -0.41727
1902-07-16, -0.33991
1902-08-16, -0.29789
1902-09-16, -0.46875
1902-10-16, -0.37571
1902-11-16, -0.01647
1902-12-16, 0.25058
1903-01-16, 0.42894
1903-02-15, -0.056282
1903-03-16, 0.32078
1903-04-16, 0.41035
1903-05-16, 0.37699
1903-06-16, 0.39679
1903-07-16, 0.40807
1903-08-16, 0.34866
1903-09-16, 0.373
1903-10-16, 0.072942
1903-11-16, -0.37905
1903-12-16, -0.78661
1904-01-16, -1.2134
1904-02-15, -0.78095
1904-03-16, -0.6683
1904-04-16, -0.69142
1904-05-16, -0.76352
1904-06-16, -0.75867
1904-07-16, -0.7866
1904-08-16, -0.78572
1904-09-16, -0.53792
1904-10-16, -0.27355
1904-11-16, -0.41937
1904-12-16, -0.067241
1905-01-16, 0.17281
1905-02-15, 0.26547
1905-03-16, 0.34967
1905-04-16, 0.18719
1905-05-16, 0.47907
1905-06-16, 0.55826
1905-07-16, 0.53431
1905-08-16, 0.53442
1905-09-16, 0.3388
1905-10-16, 0.12593
1905-11-16, 0.43595
1905-12-16, 0.21782
1906-01-16, 0.29302
1906-02-15, -0.099329
1906-03-16, 0.68698
1906-04-16, 0.70834
1906-05-16, 0.71946
1906-06-16, 0.70744
1906-07-16, 0.66917
1906-08-16, 0.74408
1906-09-16, 0.71249
1906-10-16, 0.66382
1906-11-16, 0.51732
1906-12-16, 1.2106
1907-01-16, 1.8236
1907-02-15, 1.7162
1907-03-16, 1.1829
1907-04-16, 1.0792
1907-05-16, 0.91112
1907-06-16, 0.94194
1907-07-16, 0.99062
1907-08-16, 0.98766
1907-09-16, 1.0209
1907-10-16, 1.3288
1907-11-16, 1.2606
1907-12-16, 0.74091
1908-01-16, 0.30035
1908-02-15, 0.84319
1908-03-16, 0.046955
1908-04-16, 0.064544
1908-05-16, 0.15584
1908-06-16, 0.12228
1908-07-16, 0.09401
1908-08-16, 0.028558
1908-09-16, 0.24368
1908-10-16, -0.085473
1908-11-16, 0.13734
1908-12-16, -0.03442
1909-01-16, 0.85536
1909-02-15, 0.98699
