days since 1900-1-1, spei
1901-01-16, NA
1901-02-15, NA
1901-03-16, NA
1901-04-16, NA
1901-05-16, NA
1901-06-16, 0.42908
1901-07-16, 0.091645
1901-08-16, -0.47247
1901-09-16, 0.77877
1901-10-16, 0.81258
1901-11-16, -0.42718
1901-12-16, -1.1576
1902-01-16, -1.2147
1902-02-15, -0.68697
1902-03-16, -0.52923
1902-04-16, -0.45159
1902-05-16, -0.25376
1902-06-16, 0.090146
1902-07-16, 0.48873
1902-08-16, 0.42881
1902-09-16, 0.037836
1902-10-16, 0.14006
1902-11-16, 0.51237
1902-12-16, 0.3254
1903-01-16, 0.10806
1903-02-15, -0.16058
1903-03-16, 0.37881
1903-04-16, 0.38739
1903-05-16, 0.16296
1903-06-16, 0.1992
1903-07-16, 0.41088
1903-08-16, 0.79199
1903-09-16, 0.11234
1903-10-16, -1.3282
1903-11-16, -1.4449
1903-12-16, -1.8218
1904-01-16, -2.0512
1904-02-15, -1.5041
1904-03-16, -0.67979
1904-04-16, -0.38874
1904-05-16, -0.29888
1904-06-16, 0.086755
1904-07-16, 0.55947
1904-08-16, 0.34953
1904-09-16, -0.21094
1904-10-16, -0.20409
1904-11-16, -0.7196
1904-12-16, -0.63438
1905-01-16, -0.63964
1905-02-15, 0.091294
1905-03-16, 0.34186
1905-04-16, 0.13949
1905-05-16, 0.60935
1905-06-16, 0.73932
1905-07-16, 0.99487
1905-08-16, 0.77785
1905-09-16, -0.043789
1905-10-16, -0.14534
1905-11-16, -0.69845
1905-12-16, -1.1324
1906-01-16, -0.85828
1906-02-15, -0.58387
1906-03-16, 0.75286
1906-04-16, 0.77069
1906-05-16, 0.90158
1906-06-16, 1.1283
1906-07-16, 1.3245
1906-08-16, 1.6667
1906-09-16, 0.23908
1906-10-16, -0.31202
1906-11-16, -1.2425
1906-12-16, 0.41169
1907-01-16, 1.2734
1907-02-15, 0.74848
1907-03-16, 1.0845
1907-04-16, 1.101
1907-05-16, 1.177
1907-06-16, 0.76557
1907-07-16, 0.13328
1907-08-16, 0.77785
1907-09-16, -0.07327
1907-10-16, 1.19
1907-11-16, 0.27319
1907-12-16, -0.018728
1908-01-16, 0.36584
1908-02-15, 0.64269
1908-03-16, 0.088373
1908-04-16, -0.38729
1908-05-16, -0.06489
1908-06-16, 0.0094138
1908-07-16, -0.36283
1908-08-16, -1.1544
1908-09-16, 0.29906
1908-10-16, 0.6177
1908-11-16, 0.27503
1908-12-16, -0.25463
